granularity,buggedType,version_name,valid,bug
Method,Most,v0.3.20150210,7084,0
Method,Most,v0.4.20150710,24044,10
Method,Most,v0.4.0,25046,2
Method,Most,v0.5.0,26655,20
Method,Most,v0.6.0,30263,11
Method,Most,v2.0.0,32259,2
Method,Most,v2.1.0,36656,6
Method,Most,v2.2.0,39263,2
Method,Most,v2.3.0,39903,0
Method,Most,v2.4.0,42611,4
Method,Most,v2.5.0,44895,2
Method,Most,v2.6.0,45567,1
Method,Most,v2.7.0,54643,4
Method,All,v0.3.20150210,7084,0
Method,All,v0.4.20150710,23906,148
Method,All,v0.4.0,25046,2
Method,All,v0.5.0,26587,88
Method,All,v0.6.0,30208,66
Method,All,v2.0.0,32255,6
Method,All,v2.1.0,36629,33
Method,All,v2.2.0,39262,3
Method,All,v2.3.0,39903,0
Method,All,v2.4.0,42608,7
Method,All,v2.5.0,44896,1
Method,All,v2.6.0,45567,1
Method,All,v2.7.0,54495,152
File,Most,v0.3.20150210,773,1
File,Most,v0.4.20150710,3834,8
File,Most,v0.4.0,3946,1
File,Most,v0.5.0,4090,11
File,Most,v0.6.0,4439,6
File,Most,v2.0.0,4575,2
File,Most,v2.1.0,5735,5
File,Most,v2.2.0,6038,1
File,Most,v2.3.0,6105,0
File,Most,v2.4.0,6425,5
File,Most,v2.5.0,6557,1
File,Most,v2.6.0,6621,1
File,Most,v2.7.0,7999,3
File,All,v0.3.20150210,773,1
File,All,v0.4.20150710,3812,30
File,All,v0.4.0,3946,1
File,All,v0.5.0,4069,32
File,All,v0.6.0,4431,14
File,All,v2.0.0,4575,2
File,All,v2.1.0,5725,15
File,All,v2.2.0,6036,3
File,All,v2.3.0,6105,0
File,All,v2.4.0,6418,12
File,All,v2.5.0,6557,1
File,All,v2.6.0,6620,2
File,All,v2.7.0,7959,43
