granularity,buggedType,version_name,valid,bug
Method,Most,maven-ejb-plugin-2.0,142,1
Method,Most,maven-ejb-plugin-2.1,148,0
Method,Most,maven-ejb-plugin-2.2,148,0
Method,Most,maven-ejb-plugin-2.2.1,153,0
Method,Most,maven-ejb-plugin-2.3,154,0
Method,Most,maven-ejb-plugin-2.4,159,0
Method,Most,maven-ejb-plugin-2.5,159,0
Method,Most,maven-ejb-plugin-2.5.1,231,0
Method,Most,maven-ejb-plugin-3.0.0,231,0
Method,All,maven-ejb-plugin-2.0,143,0
Method,All,maven-ejb-plugin-2.1,148,0
Method,All,maven-ejb-plugin-2.2,148,0
Method,All,maven-ejb-plugin-2.2.1,153,0
Method,All,maven-ejb-plugin-2.3,154,0
Method,All,maven-ejb-plugin-2.4,159,0
Method,All,maven-ejb-plugin-2.5,159,0
Method,All,maven-ejb-plugin-2.5.1,231,0
Method,All,maven-ejb-plugin-3.0.0,231,0
File,Most,maven-ejb-plugin-2.0,8,0
File,Most,maven-ejb-plugin-2.1,10,0
File,Most,maven-ejb-plugin-2.2,9,1
File,Most,maven-ejb-plugin-2.2.1,12,0
File,Most,maven-ejb-plugin-2.3,12,0
File,Most,maven-ejb-plugin-2.4,11,1
File,Most,maven-ejb-plugin-2.5,12,0
File,Most,maven-ejb-plugin-2.5.1,26,0
File,Most,maven-ejb-plugin-3.0.0,26,0
File,All,maven-ejb-plugin-2.0,8,0
File,All,maven-ejb-plugin-2.1,10,0
File,All,maven-ejb-plugin-2.2,9,1
File,All,maven-ejb-plugin-2.2.1,12,0
File,All,maven-ejb-plugin-2.3,12,0
File,All,maven-ejb-plugin-2.4,11,1
File,All,maven-ejb-plugin-2.5,12,0
File,All,maven-ejb-plugin-2.5.1,26,0
File,All,maven-ejb-plugin-3.0.0,26,0
