granularity,buggedType,version_name,valid,bug
Method,Most,v1.0,12024,0
Method,Most,v1.0.1,12024,0
Method,Most,v1.1,12024,0
Method,Most,v1.2,12024,0
Method,Most,v1.3,12024,0
Method,Most,v1.4,13138,7
Method,Most,v1.5,14096,5
Method,Most,v1.5.1,14616,3
Method,Most,v1.5.2,14720,1
Method,Most,v2.0,14982,24
Method,Most,pivot-archetype-quickstart-1.0,15280,11
Method,Most,2.0.1,15330,2
Method,Most,pivot-archetype-quickstart-1.0.1,15678,1
Method,Most,2.0.2,15679,0
Method,Most,pivot-archetype-quickstart-1.0.2,15829,8
Method,Most,2.0.3,15845,1
Method,Most,pivot-archetype-quickstart-1.0.3,16447,8
Method,Most,2.0.4,16453,2
Method,Most,pivot-archetype-quickstart-1.0.4,16881,25
Method,All,v1.0,12024,0
Method,All,v1.0.1,12024,0
Method,All,v1.1,12024,0
Method,All,v1.2,12024,0
Method,All,v1.3,12024,0
Method,All,v1.4,13117,28
Method,All,v1.5,14084,17
Method,All,v1.5.1,14552,67
Method,All,v1.5.2,14720,1
Method,All,v2.0,14916,90
Method,All,pivot-archetype-quickstart-1.0,15280,11
Method,All,2.0.1,15295,37
Method,All,pivot-archetype-quickstart-1.0.1,15669,10
Method,All,2.0.2,15679,0
Method,All,pivot-archetype-quickstart-1.0.2,15798,39
Method,All,2.0.3,15845,1
Method,All,pivot-archetype-quickstart-1.0.3,16423,32
Method,All,2.0.4,16451,4
Method,All,pivot-archetype-quickstart-1.0.4,16605,301
File,Most,v1.0,1108,0
File,Most,v1.0.1,1108,0
File,Most,v1.1,1108,0
File,Most,v1.2,1108,0
File,Most,v1.3,1108,0
File,Most,v1.4,1170,6
File,Most,v1.5,1255,5
File,Most,v1.5.1,1264,2
File,Most,v1.5.2,1288,1
File,Most,v2.0,1292,20
File,Most,pivot-archetype-quickstart-1.0,1337,6
File,Most,2.0.1,1345,1
File,Most,pivot-archetype-quickstart-1.0.1,1355,1
File,Most,2.0.2,1356,0
File,Most,pivot-archetype-quickstart-1.0.2,1364,7
File,Most,2.0.3,1371,1
File,Most,pivot-archetype-quickstart-1.0.3,1388,6
File,Most,2.0.4,1392,2
File,Most,pivot-archetype-quickstart-1.0.4,1429,18
File,All,v1.0,1108,0
File,All,v1.0.1,1108,0
File,All,v1.1,1108,0
File,All,v1.2,1108,0
File,All,v1.3,1108,0
File,All,v1.4,1160,16
File,All,v1.5,1251,9
File,All,v1.5.1,1223,43
File,All,v1.5.2,1288,1
File,All,v2.0,1274,38
File,All,pivot-archetype-quickstart-1.0,1333,10
File,All,2.0.1,1332,14
File,All,pivot-archetype-quickstart-1.0.1,1355,1
File,All,2.0.2,1356,0
File,All,pivot-archetype-quickstart-1.0.2,1355,16
File,All,2.0.3,1370,2
File,All,pivot-archetype-quickstart-1.0.3,1381,13
File,All,2.0.4,1390,4
File,All,pivot-archetype-quickstart-1.0.4,1171,276
