granularity,buggedType,version_name,valid,bug
Method,Most,flume-1.2.0,7596,26
Method,Most,release-1.3.0,7995,10
Method,Most,release-1.3.1,8638,17
Method,Most,release-1.4.0,9078,5
Method,Most,release-1.5.0,9082,2
Method,Most,release-1.5.0.1,9307,8
Method,Most,release-1.5.1,9316,1
Method,Most,release-1.5.2,9546,4
Method,Most,release-1.6.0,9901,18
Method,Most,release-1.7.0,10093,8
Method,All,flume-1.2.0,7542,80
Method,All,release-1.3.0,7977,28
Method,All,release-1.3.1,8590,65
Method,All,release-1.4.0,9074,9
Method,All,release-1.5.0,9081,3
Method,All,release-1.5.0.1,9293,22
Method,All,release-1.5.1,9317,0
Method,All,release-1.5.2,9531,19
Method,All,release-1.6.0,9883,36
Method,All,release-1.7.0,9978,123
File,Most,flume-1.2.0,977,19
File,Most,release-1.3.0,1046,8
File,Most,release-1.3.1,1096,14
File,Most,release-1.4.0,1144,8
File,Most,release-1.5.0,1151,1
File,Most,release-1.5.0.1,1178,5
File,Most,release-1.5.1,1183,0
File,Most,release-1.5.2,1215,3
File,Most,release-1.6.0,1225,11
File,Most,release-1.7.0,1240,9
File,All,flume-1.2.0,963,33
File,All,release-1.3.0,1045,9
File,All,release-1.3.1,1084,26
File,All,release-1.4.0,1140,12
File,All,release-1.5.0,1151,1
File,All,release-1.5.0.1,1177,6
File,All,release-1.5.1,1183,0
File,All,release-1.5.2,1210,8
File,All,release-1.6.0,1222,14
File,All,release-1.7.0,1218,31
