granularity,buggedType,version_name,valid,bug
Method,Most,jwsp_10_01@139576,181,0
Method,Most,jwsp_10_01@139578,181,0
Method,Most,start@139576,181,0
Method,Most,start@139578,181,0
Method,Most,start@560656,181,0
Method,Most,jwsp_10_01@560656,181,0
Method,Most,jwsdp_10_ea2_01@139585,181,0
Method,Most,jwsdp_10_ea2_01@560656,181,0
Method,Most,STRUTS_1_1_B1@139588,181,0
Method,Most,STRUTS_1_1_B1@560656,226,0
Method,Most,POOL_1_0@139620,226,0
Method,Most,POOL_1_0@560656,228,0
Method,Most,STRUTS_1_1_B2@139633,228,0
Method,Most,STRUTS_1_1_B2@560656,228,0
Method,Most,POOL_1_0_1@139636,228,0
Method,Most,POOL_1_0_1@560656,280,0
Method,Most,STRUTS_1_1_B3@139653,280,0
Method,Most,STRUTS_1_1_B3@560656,280,0
Method,Most,STRUTS_1_1_RC1@139653,280,0
Method,Most,STRUTS_1_1_RC1@560656,372,0
Method,Most,USED_BY_SCARAB_0_16_20@139685,372,0
Method,Most,USED_BY_SCARAB_0_16_20@560656,403,0
Method,Most,POOL_1_1_RC1@139723,403,0
Method,Most,POOL_1_1_RC1@560656,403,0
Method,Most,POOL_1_1_RC2@139738,403,0
Method,Most,POOL_1_1_RC2@560656,403,0
Method,Most,POOL_1_1@139740,403,0
Method,Most,POOL_1_1@560656,417,0
Method,Most,POOL_1_2_RC1@139775,417,0
Method,Most,POOL_1_2_RC1@560656,417,0
Method,Most,POOL_1_2@139778,417,0
Method,Most,POOL_1_2@560656,439,0
Method,Most,POOL_1_3@329376,439,0
Method,Most,POOL_1_3_RC1@329376,439,0
Method,Most,POOL_1_3_RC3@329376,439,0
Method,Most,POOL_1_3_RC4@329376,633,0
Method,Most,POOL_1_3_RC1@387392,633,0
Method,Most,POOL_1_3_RC1@560656,939,1
Method,Most,POOL_1_3_RC3@388728,953,1
Method,Most,POOL_1_3_RC3@560656,966,0
Method,Most,POOL_1_3_RC4@388984,966,0
Method,Most,POOL_1_3_RC4@560656,1206,0
Method,Most,POOL_1_3@390933,1206,0
Method,Most,POOL_1_3@560656,1198,7
Method,Most,POOL_1_0@560657,1205,0
