granularity,buggedType,version_name,valid,bug
Method,Most,v0.6.1,4736,0
Method,Most,v0.6.2,5526,0
Method,Most,kylin-0.6.3,7114,2
Method,Most,v0.6.4,3875,9
Method,Most,v0.6.5,11378,272
Method,Most,kylin-1.2,12409,90
Method,Most,kylin-1.3,12535,8
Method,Most,kylin-1.3.0,12608,5
Method,Most,kylin-1.5.0,13140,44
Method,Most,kylin-1.5.1,13621,82
Method,Most,kylin-1.5.2,13753,4
Method,Most,kylin-1.5.2-cdh5.7,13831,24
Method,Most,kylin-1.5.2.1,13967,9
Method,Most,kylin-1.5.2.1-cdh5.7,13940,64
Method,Most,kylin-1.5.3,13944,60
Method,Most,kylin-1.5.3-cdh5.7,14511,53
Method,Most,kylin-1.5.4,14735,8
Method,Most,kylin-1.5.4-cdh5.7,14839,12
Method,Most,kylin-1.5.4.1,14852,5
Method,Most,kylin-1.5.4.1-cdh5.7,15662,93
Method,Most,kylin-1.6.0,15996,9
Method,Most,kylin-1.6.0-cdh5.7,17144,264
Method,Most,kylin-2.0.0,17674,6
Method,Most,kylin-2.0.0-hbase0.98,18889,109
Method,Most,kylin-2.1.0,20150,106
Method,Most,kylin-2.2.0,21175,202
Method,Most,kylin-2.3.0,21568,22
Method,Most,kylin-2.3.1,22134,51
Method,Most,kylin-2.4.0,22189,7
Method,Most,kylin-2.3.2,22793,66
Method,Most,kylin-2.4.1,22840,23
Method,Most,kylin-2.5.0,23240,54
Method,All,v0.6.1,4736,0
Method,All,v0.6.2,5526,0
Method,All,kylin-0.6.3,7089,27
Method,All,v0.6.4,3447,437
Method,All,v0.6.5,6398,5252
Method,All,kylin-1.2,11673,826
Method,All,kylin-1.3,12287,256
Method,All,kylin-1.3.0,12593,20
Method,All,kylin-1.5.0,12611,573
Method,All,kylin-1.5.1,13197,506
Method,All,kylin-1.5.2,13676,81
Method,All,kylin-1.5.2-cdh5.7,13708,147
Method,All,kylin-1.5.2.1,13835,141
Method,All,kylin-1.5.2.1-cdh5.7,12985,1019
Method,All,kylin-1.5.3,14002,2
Method,All,kylin-1.5.3-cdh5.7,13877,687
Method,All,kylin-1.5.4,14572,171
Method,All,kylin-1.5.4-cdh5.7,14606,245
Method,All,kylin-1.5.4.1,14800,57
Method,All,kylin-1.5.4.1-cdh5.7,14590,1165
Method,All,kylin-1.6.0,15529,476
Method,All,kylin-1.6.0-cdh5.7,15308,2100
Method,All,kylin-2.0.0,17395,285
Method,All,kylin-2.0.0-hbase0.98,17359,1639
Method,All,kylin-2.1.0,18645,1611
Method,All,kylin-2.2.0,19845,1532
Method,All,kylin-2.3.0,21519,71
Method,All,kylin-2.3.1,21310,875
Method,All,kylin-2.4.0,22163,33
Method,All,kylin-2.3.2,21641,1218
Method,All,kylin-2.4.1,22847,16
Method,All,kylin-2.5.0,22616,678
File,Most,v0.6.1,604,0
File,Most,v0.6.2,695,0
File,Most,kylin-0.6.3,900,2
File,Most,v0.6.4,1074,4
File,Most,v0.6.5,2052,168
File,Most,kylin-1.2,2234,66
File,Most,kylin-1.3,2296,8
File,Most,kylin-1.3.0,2180,134
File,Most,kylin-1.5.0,2343,32
File,Most,kylin-1.5.1,2356,56
File,Most,kylin-1.5.2,2410,4
File,Most,kylin-1.5.2-cdh5.7,2403,18
File,Most,kylin-1.5.2.1,2420,7
File,Most,kylin-1.5.2.1-cdh5.7,2343,41
File,Most,kylin-1.5.3,2382,2
File,Most,kylin-1.5.3-cdh5.7,2401,44
File,Most,kylin-1.5.4,2459,9
File,Most,kylin-1.5.4-cdh5.7,2454,14
File,Most,kylin-1.5.4.1,2450,18
File,Most,kylin-1.5.4.1-cdh5.7,2444,74
File,Most,kylin-1.6.0,2521,6
File,Most,kylin-1.6.0-cdh5.7,2507,139
File,Most,kylin-2.0.0,2665,5
File,Most,kylin-2.0.0-hbase0.98,2705,82
File,Most,kylin-2.1.0,2866,66
File,Most,kylin-2.2.0,2920,109
File,Most,kylin-2.3.0,3033,16
File,Most,kylin-2.3.1,3061,36
File,Most,kylin-2.4.0,3094,5
File,Most,kylin-2.3.2,3107,48
File,Most,kylin-2.4.1,3146,9
File,Most,kylin-2.5.0,3151,42
File,All,v0.6.1,604,0
File,All,v0.6.2,695,0
File,All,kylin-0.6.3,872,30
File,All,v0.6.4,1004,74
File,All,v0.6.5,1037,1183
File,All,kylin-1.2,2073,227
File,All,kylin-1.3,2257,47
File,All,kylin-1.3.0,2196,118
File,All,kylin-1.5.0,2173,202
File,All,kylin-1.5.1,2249,163
File,All,kylin-1.5.2,2344,70
File,All,kylin-1.5.2-cdh5.7,2375,46
File,All,kylin-1.5.2.1,2398,29
File,All,kylin-1.5.2.1-cdh5.7,2003,381
File,All,kylin-1.5.3,2378,6
File,All,kylin-1.5.3-cdh5.7,2272,173
File,All,kylin-1.5.4,2391,77
File,All,kylin-1.5.4-cdh5.7,2398,70
File,All,kylin-1.5.4.1,2399,69
File,All,kylin-1.5.4.1-cdh5.7,2238,280
File,All,kylin-1.6.0,2437,90
File,All,kylin-1.6.0-cdh5.7,2180,466
File,All,kylin-2.0.0,2625,45
File,All,kylin-2.0.0-hbase0.98,2479,308
File,All,kylin-2.1.0,2547,385
File,All,kylin-2.2.0,2716,313
File,All,kylin-2.3.0,3015,34
File,All,kylin-2.3.1,2893,204
File,All,kylin-2.4.0,3085,14
File,All,kylin-2.3.2,2843,312
File,All,kylin-2.4.1,3144,11
File,All,kylin-2.5.0,3027,166
