granularity,buggedType,version_name,valid,bug
Method,Most,v1.0,12024,0
Method,Most,v1.0.1,14707,14
Method,Most,v2.0,14982,24
Method,Most,pivot-archetype-quickstart-1.0,15280,11
Method,Most,2.0.1,15330,2
Method,Most,pivot-archetype-quickstart-1.0.1,15678,1
Method,Most,2.0.2,15679,0
Method,Most,pivot-archetype-quickstart-1.0.2,15829,8
Method,Most,2.0.3,15845,1
Method,Most,pivot-archetype-quickstart-1.0.3,16447,8
Method,Most,2.0.4,16453,2
Method,Most,pivot-archetype-quickstart-1.0.4,16881,25
Method,All,v1.0,12024,0
Method,All,v1.0.1,14611,110
Method,All,v2.0,14916,90
Method,All,pivot-archetype-quickstart-1.0,15280,11
Method,All,2.0.1,15295,37
Method,All,pivot-archetype-quickstart-1.0.1,15669,10
Method,All,2.0.2,15679,0
Method,All,pivot-archetype-quickstart-1.0.2,15798,39
Method,All,2.0.3,15845,1
Method,All,pivot-archetype-quickstart-1.0.3,16423,32
Method,All,2.0.4,16451,4
Method,All,pivot-archetype-quickstart-1.0.4,16605,301
File,Most,v1.0,1108,0
File,Most,v1.0.1,1276,13
File,Most,v2.0,1292,20
File,Most,pivot-archetype-quickstart-1.0,1337,6
File,Most,2.0.1,1345,1
File,Most,pivot-archetype-quickstart-1.0.1,1355,1
File,Most,2.0.2,1356,0
File,Most,pivot-archetype-quickstart-1.0.2,1364,7
File,Most,2.0.3,1371,1
File,Most,pivot-archetype-quickstart-1.0.3,1388,6
File,Most,2.0.4,1392,2
File,Most,pivot-archetype-quickstart-1.0.4,1429,18
File,All,v1.0,1108,0
File,All,v1.0.1,1225,64
File,All,v2.0,1274,38
File,All,pivot-archetype-quickstart-1.0,1333,10
File,All,2.0.1,1332,14
File,All,pivot-archetype-quickstart-1.0.1,1355,1
File,All,2.0.2,1356,0
File,All,pivot-archetype-quickstart-1.0.2,1355,16
File,All,2.0.3,1370,2
File,All,pivot-archetype-quickstart-1.0.3,1381,13
File,All,2.0.4,1390,4
File,All,pivot-archetype-quickstart-1.0.4,1171,276
