granularity,buggedType,version_name,valid,bug
Method,Most,release-1.0.0,5418,0
Method,Most,release-1.0.1,5418,0
Method,Most,release-1.0.2,5418,0
Method,Most,release-1.3.0,5418,0
Method,All,release-1.0.0,5418,0
Method,All,release-1.0.1,5418,0
Method,All,release-1.0.2,5418,0
Method,All,release-1.3.0,5418,0
File,Most,release-1.0.0,809,0
File,Most,release-1.0.1,809,0
File,Most,release-1.0.2,809,0
File,Most,release-1.3.0,807,0
File,All,release-1.0.0,809,0
File,All,release-1.0.1,809,0
File,All,release-1.0.2,809,0
File,All,release-1.3.0,807,0
